"Date","Price","Open","High","Low","Vol.","Change %"
"01/21/2024","56.315","55.910","56.570","55.910","","0.60%"
"01/14/2024","55.980","55.840","56.132","55.765","","0.14%"
"01/07/2024","55.900","55.540","56.400","55.455","","0.52%"
"12/31/2023","55.610","55.404","55.820","55.404","","0.40%"
"12/24/2023","55.388","55.368","55.952","55.323","","0.00%"
"12/17/2023","55.390","55.770","56.010","55.313","","-0.59%"
"12/10/2023","55.720","55.500","56.085","55.490","","0.51%"
"12/03/2023","55.440","55.375","55.470","55.225","","-0.04%"
"11/26/2023","55.460","55.460","55.555","55.280","","0.07%"
"11/19/2023","55.420","55.480","55.630","55.310","","-0.25%"
"11/12/2023","55.560","55.900","56.140","55.550","","-0.49%"
"11/05/2023","55.833","55.780","56.280","55.758","","-0.42%"
"10/29/2023","56.070","56.980","56.980","55.940","","-1.58%"
"10/22/2023","56.970","56.760","57.050","56.690","","0.38%"
"10/15/2023","56.755","56.850","56.910","56.660","","-0.04%"
"10/08/2023","56.780","56.690","57.010","56.635","","0.18%"
"10/01/2023","56.680","56.658","56.920","56.570","","-0.02%"
"09/24/2023","56.690","56.800","57.195","56.532","","-0.21%"
"09/17/2023","56.812","56.860","56.956","56.580","","-0.07%"
"09/10/2023","56.850","56.680","56.917","56.565","","0.34%"
"09/03/2023","56.660","56.610","57.060","56.490","","0.23%"
"08/27/2023","56.530","56.620","56.810","56.470","","-0.12%"
"08/20/2023","56.596","56.290","56.865","56.090","","0.81%"
"08/13/2023","56.142","56.510","56.975","56.140","","-0.76%"
"08/06/2023","56.572","55.660","56.683","55.600","","1.60%"
"07/30/2023","55.680","54.900","55.770","54.710","","1.41%"
"07/23/2023","54.904","54.700","54.960","54.465","","0.34%"
"07/16/2023","54.720","54.400","54.768","54.305","","0.70%"
"07/09/2023","54.340","55.590","55.729","54.310","","-2.13%"
"07/02/2023","55.522","55.240","55.699","55.010","","0.47%"
"06/25/2023","55.264","55.710","55.805","55.078","","-0.85%"
"06/18/2023","55.740","55.780","55.980","55.520","","0.09%"
"06/11/2023","55.690","56.080","56.135","55.691","","-0.68%"
"06/04/2023","56.070","55.990","56.292","55.922","","0.10%"
"05/28/2023","56.013","55.800","56.438","55.758","","0.20%"
"05/21/2023","55.900","55.710","56.141","55.572","","0.47%"
"05/14/2023","55.639","55.850","56.270","55.616","","-0.38%"
"05/07/2023","55.854","55.300","56.030","55.215","","1.02%"
"04/30/2023","55.290","55.510","55.567","55.115","","-0.32%"
"04/23/2023","55.470","55.985","56.022","55.345","","-0.73%"
"04/16/2023","55.880","55.270","56.497","55.265","","0.98%"
"04/09/2023","55.339","54.490","55.405","54.490","","1.38%"
"04/02/2023","54.584","54.320","54.850","54.280","","0.59%"
"03/26/2023","54.266","54.350","54.555","54.106","","-0.02%"
"03/19/2023","54.278","54.690","54.735","54.211","","-0.77%"
"03/12/2023","54.700","55.170","55.170","54.615","","-0.83%"
"03/05/2023","55.160","54.760","55.490","54.755","","0.75%"
"02/26/2023","54.750","54.915","55.638","54.735","","-0.22%"
"02/19/2023","54.870","55.280","55.320","54.870","","-1.14%"
"02/12/2023","55.500","54.460","55.535","54.410","","1.90%"
"02/05/2023","54.465","53.710","55.185","53.710","","1.52%"
"01/29/2023","53.650","54.490","54.740","53.630","","-1.52%"
"01/22/2023","54.480","54.460","54.730","54.260","","0.06%"
"01/15/2023","54.450","54.890","55.015","54.425","","-0.82%"
"01/08/2023","54.900","55.250","55.432","54.760","","-1.10%"
"01/01/2023","55.512","55.590","56.145","55.522","","-0.28%"
"12/25/2022","55.670","55.190","56.295","55.138","","0.82%"
"12/18/2022","55.215","55.530","55.550","55.025","","-0.55%"
"12/11/2022","55.520","55.390","55.930","55.320","","0.31%"
"12/04/2022","55.350","55.730","56.125","55.160","","-0.63%"
"11/27/2022","55.700","56.720","56.885","55.720","","-1.75%"
"11/20/2022","56.690","57.207","57.503","56.580","","-1.00%"
"11/13/2022","57.260","57.230","57.595","57.110","","0.12%"
"11/06/2022","57.190","58.410","58.610","57.130","","-1.94%"
"10/30/2022","58.320","57.990","58.991","57.910","","0.55%"
"10/23/2022","58.000","58.890","58.944","57.815","","-1.44%"
"10/16/2022","58.850","59.000","59.083","58.670","","-0.24%"
"10/09/2022","58.990","59.010","59.181","58.810","","-0.08%"
"10/02/2022","59.040","58.710","59.110","58.400","","0.49%"
"09/25/2022","58.750","58.760","59.213","58.491","","0.02%"
"09/18/2022","58.740","57.415","58.835","57.310","","2.48%"
"09/11/2022","57.320","56.810","57.440","56.653","","0.92%"
"09/04/2022","56.800","56.780","57.360","56.770","","-0.14%"
"08/28/2022","56.880","56.110","56.932","56.060","","1.26%"
"08/21/2022","56.170","55.945","56.278","55.897","","0.41%"
"08/14/2022","55.940","55.630","56.100","55.630","","0.50%"
"08/07/2022","55.660","55.460","55.860","55.292","","0.21%"
"07/31/2022","55.541","55.290","55.840","55.145","","0.36%"
"07/24/2022","55.340","56.160","56.240","55.045","","-1.37%"
"07/17/2022","56.110","56.360","56.480","56.070","","-0.28%"
"07/10/2022","56.270","55.910","56.545","55.850","","0.81%"
"07/03/2022","55.820","55.110","56.140","54.968","","1.27%"
"06/26/2022","55.120","54.860","55.317","54.615","","0.42%"
"06/19/2022","54.890","53.750","54.990","53.750","","2.12%"
"06/12/2022","53.750","53.090","53.810","53.075","","1.32%"
"06/05/2022","53.050","52.860","53.100","52.800","","0.28%"
"05/29/2022","52.900","52.200","52.970","52.150","","1.28%"
"05/22/2022","52.230","52.230","52.490","52.145","","0.06%"
"05/15/2022","52.200","52.410","52.560","52.115","","-0.32%"
"05/08/2022","52.370","52.498","52.724","51.995","","-0.08%"
"05/01/2022","52.410","52.245","52.647","52.215","","0.19%"
"04/24/2022","52.310","52.380","52.490","51.960","","-0.04%"
"04/17/2022","52.330","52.230","52.544","52.135","","0.35%"
"04/10/2022","52.150","51.560","52.280","51.560","","1.09%"
"04/03/2022","51.590","51.610","51.665","51.140","","0.14%"
"03/27/2022","51.520","52.150","52.305","51.515","","-1.11%"
"03/20/2022","52.100","52.360","52.482","52.100","","-0.36%"
"03/13/2022","52.290","52.310","52.498","52.110","","-0.04%"
"03/06/2022","52.310","51.910","52.390","51.865","","0.71%"
"02/27/2022","51.940","51.310","52.070","51.180","","1.23%"
"02/20/2022","51.308","51.460","51.520","51.030","","-0.24%"
"02/13/2022","51.430","51.230","51.510","51.210","","0.35%"
"02/06/2022","51.250","51.140","51.561","51.140","","0.10%"
"01/30/2022","51.200","51.160","51.305","50.880","","0.16%"
"01/23/2022","51.120","51.310","51.460","51.110","","-0.25%"
"01/16/2022","51.250","51.275","51.628","51.165","","-0.12%"
"01/09/2022","51.310","51.310","51.465","50.940","","-0.02%"
"01/02/2022","51.320","51.130","51.452","50.860","","0.65%"
"12/26/2021","50.990","50.010","51.150","49.970","","1.94%"
"12/19/2021","50.020","49.960","50.265","49.810","","0.30%"
"12/12/2021","49.870","50.355","50.393","49.810","","-0.93%"
"12/05/2021","50.340","50.450","50.485","50.170","","-0.14%"
"11/28/2021","50.410","50.450","50.613","50.270","","-0.12%"
"11/21/2021","50.470","50.510","50.820","50.280","","0.00%"
"11/14/2021","50.470","49.790","50.679","49.765","","1.33%"
"11/07/2021","49.810","50.210","50.400","49.710","","-0.76%"
"10/31/2021","50.190","50.480","50.774","50.200","","-0.66%"
"10/24/2021","50.521","50.780","50.891","49.977","","-0.43%"
"10/17/2021","50.740","50.710","50.936","50.645","","0.08%"
"10/10/2021","50.700","50.560","50.940","50.510","","0.32%"
"10/03/2021","50.540","50.760","51.051","50.176","","-0.37%"
"09/26/2021","50.730","50.730","51.353","50.570","","0.10%"
"09/19/2021","50.680","50.050","50.952","50.005","","1.28%"
"09/12/2021","50.040","49.850","50.075","49.630","","0.23%"
"09/05/2021","49.927","49.830","50.359","49.780","","0.11%"
"08/29/2021","49.870","49.910","50.174","49.542","","0.02%"
"08/22/2021","49.860","50.370","50.410","49.658","","-0.93%"
"08/15/2021","50.330","50.460","50.900","50.173","","-0.44%"
"08/08/2021","50.550","50.510","50.688","50.259","","-0.04%"
"08/01/2021","50.570","49.990","50.817","49.538","","1.20%"
"07/25/2021","49.970","50.290","50.647","49.857","","-0.48%"
"07/18/2021","50.210","50.310","51.175","49.947","","-0.28%"
"07/11/2021","50.350","49.990","50.623","49.864","","0.74%"
"07/04/2021","49.980","49.110","50.370","49.100","","1.79%"
"06/27/2021","49.100","48.485","49.507","48.463","","1.15%"
"06/20/2021","48.540","48.440","48.925","48.360","","0.08%"
"06/13/2021","48.500","47.700","48.597","47.700","","1.53%"
"06/06/2021","47.770","47.735","47.877","47.530","","0.19%"
"05/30/2021","47.680","47.810","47.897","47.563","","0.01%"
"05/23/2021","47.675","47.960","48.217","47.708","","-0.49%"
"05/16/2021","47.910","47.790","48.028","47.708","","0.34%"
"05/09/2021","47.750","47.760","48.048","47.682","","-0.04%"
"05/02/2021","47.770","48.240","48.265","47.728","","-0.95%"
"04/25/2021","48.230","48.360","48.570","48.090","","0.00%"
"04/18/2021","48.230","48.370","48.548","48.195","","-0.19%"
"04/11/2021","48.320","48.550","48.813","48.292","","-0.45%"
"04/04/2021","48.540","48.510","48.975","48.435","","-0.01%"
"03/28/2021","48.547","48.500","48.695","48.398","","0.28%"
"03/21/2021","48.410","48.600","48.747","48.403","","-0.19%"
"03/14/2021","48.500","48.470","48.772","48.404","","0.04%"
"03/07/2021","48.480","48.660","48.779","48.317","","-0.25%"
"02/28/2021","48.600","48.603","48.740","48.410","","-0.27%"
"02/21/2021","48.730","48.430","49.000","48.410","","0.52%"
"02/14/2021","48.480","48.035","48.625","47.841","","0.92%"
"02/07/2021","48.040","48.085","48.120","47.974","","0.00%"
"01/31/2021","48.040","48.078","48.148","47.758","","-0.04%"
"01/24/2021","48.060","48.090","48.181","48.009","","-0.04%"
"01/17/2021","48.080","48.060","48.142","47.975","","0.08%"
"01/10/2021","48.040","48.080","48.172","47.952","","-0.06%"
"01/03/2021","48.070","48.020","48.212","47.930","","0.12%"
"12/27/2020","48.010","48.050","48.203","48.000","","-0.06%"
"12/20/2020","48.040","48.110","48.345","48.000","","-0.06%"
"12/13/2020","48.070","48.075","48.180","47.638","","-0.08%"
"12/06/2020","48.110","48.050","48.243","47.993","","0.02%"
"11/29/2020","48.100","48.170","48.200","47.943","","-0.02%"
"11/22/2020","48.110","48.230","48.387","47.998","","-0.25%"
"11/15/2020","48.230","48.250","48.400","48.110","","0.12%"
"11/08/2020","48.170","48.200","48.618","48.054","","0.00%"
"11/01/2020","48.170","48.510","48.551","48.140","","-0.74%"
"10/25/2020","48.530","48.430","48.578","48.262","","0.27%"
"10/18/2020","48.400","48.627","48.703","48.356","","-0.53%"
"10/11/2020","48.660","48.330","48.833","48.320","","0.64%"
"10/04/2020","48.350","48.513","48.562","48.280","","-0.27%"
"09/27/2020","48.480","48.482","48.579","48.370","","0.02%"
"09/20/2020","48.470","48.475","48.676","48.303","","0.02%"
"09/13/2020","48.460","48.570","48.584","48.320","","-0.16%"
"09/06/2020","48.540","48.615","48.690","48.490","","-0.04%"
"08/30/2020","48.560","48.380","48.671","48.380","","0.41%"
"08/23/2020","48.360","48.662","48.720","48.340","","-0.56%"
"08/16/2020","48.630","48.765","48.795","48.510","","-0.14%"
"08/09/2020","48.700","49.006","49.156","48.656","","-0.75%"
"08/02/2020","49.070","49.155","49.274","48.960","","-0.14%"
"07/26/2020","49.140","49.335","49.394","48.990","","-0.34%"
"07/19/2020","49.310","49.440","49.500","49.237","","-0.12%"
"07/12/2020","49.370","49.482","49.610","49.340","","-0.16%"
"07/05/2020","49.450","49.565","49.660","49.270","","-0.16%"
"06/28/2020","49.530","49.935","50.028","49.391","","-0.80%"
"06/21/2020","49.930","50.075","50.265","49.864","","-0.24%"
"06/14/2020","50.050","50.185","50.420","49.964","","-0.40%"
"06/07/2020","50.250","49.820","50.432","49.760","","0.84%"
"05/31/2020","49.830","50.520","50.565","49.696","","-1.25%"
"05/24/2020","50.460","50.764","50.830","50.410","","-0.57%"
"05/17/2020","50.750","50.775","51.010","50.477","","0.20%"
"05/10/2020","50.650","50.460","50.785","50.080","","0.52%"
"05/03/2020","50.390","50.530","50.774","50.360","","-0.36%"
"04/26/2020","50.570","50.840","50.840","50.290","","-0.35%"
"04/19/2020","50.750","50.860","50.990","50.600","","-0.08%"
"04/12/2020","50.790","50.515","51.051","50.515","","0.71%"
"04/05/2020","50.430","50.710","50.860","50.360","","-0.55%"
"03/29/2020","50.710","51.040","51.125","50.590","","-0.78%"
"03/22/2020","51.110","51.210","51.620","50.630","","-0.16%"
"03/15/2020","51.190","51.010","52.150","50.713","","0.33%"
"03/08/2020","51.020","50.510","51.370","50.410","","0.95%"
"03/01/2020","50.540","51.000","51.080","50.510","","-0.82%"
"02/23/2020","50.960","50.930","51.190","50.758","","0.14%"
"02/16/2020","50.890","50.560","51.020","50.490","","0.69%"
"02/09/2020","50.540","50.920","50.925","50.395","","-0.79%"
"02/02/2020","50.940","51.010","51.053","50.693","","-0.12%"
"01/26/2020","51.000","50.870","51.138","50.660","","0.35%"
"01/19/2020","50.820","50.920","51.110","50.759","","-0.18%"
"01/12/2020","50.910","50.520","51.000","50.343","","0.73%"
"01/05/2020","50.540","51.080","51.320","50.450","","-1.10%"
"12/29/2019","51.100","50.780","51.200","50.565","","0.57%"
"12/22/2019","50.810","50.770","51.015","50.615","","0.10%"
"12/15/2019","50.760","50.570","50.870","50.518","","0.32%"
"12/08/2019","50.600","50.810","50.880","50.435","","-0.39%"
"12/01/2019","50.800","50.870","51.180","50.715","","-0.08%"
"11/24/2019","50.840","50.920","50.930","50.670","","-0.14%"
"11/17/2019","50.910","50.658","51.035","50.570","","0.69%"
"11/10/2019","50.560","50.540","50.975","50.540","","0.00%"
"11/03/2019","50.560","50.470","50.730","50.360","","0.16%"
"10/27/2019","50.480","51.250","51.250","50.450","","-1.41%"
"10/20/2019","51.200","51.270","51.440","50.905","","-0.08%"
"10/13/2019","51.240","51.595","51.743","51.186","","-0.70%"
"10/06/2019","51.600","51.770","51.935","51.441","","-0.17%"
"09/29/2019","51.690","51.860","52.052","51.620","","-0.37%"
"09/22/2019","51.880","52.007","52.357","51.664","","-0.29%"
"09/15/2019","52.030","51.965","52.429","51.910","","0.08%"
"09/08/2019","51.990","51.820","52.200","51.684","","0.25%"
"09/01/2019","51.860","52.130","52.370","51.772","","-0.50%"
"08/25/2019","52.120","52.420","52.560","52.012","","-0.63%"
"08/18/2019","52.450","52.310","52.472","52.160","","0.29%"
"08/11/2019","52.300","52.030","52.810","51.864","","0.56%"
"08/04/2019","52.010","51.640","52.453","51.533","","0.72%"
"07/28/2019","51.640","51.010","51.660","50.763","","1.08%"
"07/21/2019","51.090","51.050","51.300","50.967","","0.00%"
"07/14/2019","51.090","51.140","51.178","50.850","","-0.06%"
"07/07/2019","51.120","51.340","51.510","51.040","","-0.41%"
"06/30/2019","51.329","51.250","51.410","50.971","","0.21%"
"06/23/2019","51.220","51.440","51.610","51.112","","-0.37%"
"06/16/2019","51.410","52.070","52.295","51.347","","-1.27%"
"06/09/2019","52.070","51.990","52.210","51.830","","0.33%"
"06/02/2019","51.900","52.170","52.175","51.609","","-0.36%"
"05/26/2019","52.090","52.240","52.461","52.060","","0.00%"
"05/19/2019","52.090","52.610","52.774","52.110","","-1.14%"
"05/12/2019","52.690","52.125","52.764","52.125","","1.04%"
"05/05/2019","52.148","51.850","52.382","51.760","","0.75%"
"04/28/2019","51.760","52.090","52.220","51.630","","-0.58%"
"04/21/2019","52.060","51.775","52.380","51.600","","0.75%"
"04/14/2019","51.670","51.800","51.910","51.605","","-0.04%"
"04/07/2019","51.690","52.080","52.290","51.644","","-0.73%"
"03/31/2019","52.070","52.650","52.700","52.005","","-1.14%"
"03/24/2019","52.670","52.580","52.897","52.370","","0.04%"
"03/17/2019","52.650","52.530","52.962","52.318","","0.11%"
"03/10/2019","52.590","52.190","53.075","52.110","","0.59%"
"03/03/2019","52.280","51.850","52.515","51.680","","0.77%"
"02/24/2019","51.880","52.050","52.132","51.655","","-0.29%"
"02/17/2019","52.030","52.425","52.470","51.879","","-0.52%"
"02/10/2019","52.300","52.120","52.560","51.895","","0.35%"
"02/03/2019","52.120","52.230","52.519","52.028","","-0.27%"
"01/27/2019","52.260","52.540","52.640","52.011","","-0.47%"
"01/20/2019","52.505","52.600","53.040","52.470","","-0.18%"
"01/13/2019","52.600","52.190","52.689","51.970","","0.92%"
"01/06/2019","52.118","52.490","52.546","51.960","","-0.60%"
"12/30/2018","52.431","52.530","52.730","52.388","","-0.16%"
"12/23/2018","52.515","52.875","53.084","52.515","","-0.73%"
"12/16/2018","52.900","53.062","53.270","52.850","","-0.26%"
"12/09/2018","53.037","52.740","53.250","52.530","","0.67%"
"12/02/2018","52.682","52.410","52.969","52.260","","0.62%"
"11/25/2018","52.358","52.470","52.725","52.250","","-0.06%"
"11/18/2018","52.389","52.570","52.710","52.115","","-0.33%"
"11/11/2018","52.565","53.127","53.333","52.541","","-0.84%"
"11/04/2018","53.011","53.220","53.384","52.490","","-0.14%"
"10/28/2018","53.087","53.600","53.737","52.978","","-0.76%"
"10/21/2018","53.494","53.715","53.970","53.445","","-0.39%"
"10/14/2018","53.703","54.085","54.195","53.607","","-0.64%"
"10/07/2018","54.050","54.270","54.347","53.987","","-0.28%"
"09/30/2018","54.200","54.080","54.452","53.967","","0.44%"
"09/23/2018","53.965","54.270","54.430","53.879","","-0.29%"
"09/16/2018","54.123","54.050","54.284","53.850","","0.04%"
"09/09/2018","54.100","53.735","54.168","53.735","","0.73%"
"09/02/2018","53.710","53.487","54.010","53.442","","0.45%"
"08/26/2018","53.470","53.370","53.695","53.200","","0.20%"
"08/19/2018","53.364","53.415","53.580","53.255","","0.15%"
"08/12/2018","53.284","53.160","53.649","53.145","","0.18%"
"08/05/2018","53.187","53.150","53.303","52.771","","0.25%"
"07/29/2018","53.055","53.210","53.333","52.920","","-0.27%"
"07/22/2018","53.197","53.357","53.584","53.147","","-0.19%"
"07/15/2018","53.299","53.555","53.729","53.294","","-0.39%"
"07/08/2018","53.510","53.335","53.679","53.260","","0.37%"
"07/01/2018","53.313","53.367","53.561","53.271","","0.00%"
"06/24/2018","53.311","53.285","53.759","53.225","","0.18%"
"06/17/2018","53.217","53.456","53.532","53.193","","-0.22%"
"06/10/2018","53.334","52.903","53.508","52.800","","0.88%"
"06/03/2018","52.871","52.525","53.016","52.292","","0.72%"
"05/27/2018","52.491","52.702","52.798","52.404","","-0.20%"
"05/20/2018","52.595","52.365","52.738","52.176","","0.60%"
"05/13/2018","52.279","52.430","52.685","52.121","","-0.22%"
"05/06/2018","52.395","51.672","52.569","51.620","","1.46%"
"04/29/2018","51.639","51.710","52.002","51.542","","0.04%"
"04/22/2018","51.619","52.228","52.493","51.599","","-0.98%"
"04/15/2018","52.129","51.959","52.289","51.910","","0.33%"
"04/08/2018","51.955","52.035","52.143","51.791","","-0.10%"
"04/01/2018","52.005","52.167","52.251","51.904","","-0.23%"
"03/25/2018","52.124","52.375","52.509","52.095","","-0.46%"
"03/18/2018","52.365","51.925","52.581","51.880","","0.90%"
"03/11/2018","51.900","52.030","52.192","51.859","","-0.11%"
"03/04/2018","51.957","51.900","52.223","51.808","","0.01%"
"02/25/2018","51.950","51.800","52.351","51.739","","0.29%"
"02/18/2018","51.800","52.275","52.523","51.652","","-0.76%"
"02/11/2018","52.199","51.745","52.400","51.495","","1.08%"
"02/04/2018","51.639","51.565","51.798","51.050","","0.02%"
"01/28/2018","51.630","50.944","51.775","50.875","","1.36%"
"01/21/2018","50.935","50.751","51.169","50.705","","0.52%"
"01/14/2018","50.674","50.325","50.868","50.192","","0.69%"
"01/07/2018","50.329","49.805","50.591","49.795","","1.13%"
"12/31/2017","49.769","49.944","50.035","49.695","","-0.42%"
"12/24/2017","49.977","50.111","50.111","49.786","","-0.03%"
"12/17/2017","49.990","50.480","50.535","49.995","","-0.77%"
"12/10/2017","50.380","50.525","50.689","50.266","","-0.14%"
"12/03/2017","50.450","50.285","50.815","50.285","","0.46%"
"11/26/2017","50.220","50.675","50.765","50.136","","-0.77%"
"11/19/2017","50.609","50.818","51.040","50.455","","-0.37%"
"11/12/2017","50.799","51.237","51.340","50.670","","-0.79%"
"11/05/2017","51.203","51.193","51.498","51.069","","-0.07%"
