date,cno_price,cpo_price_lag1,cpo_price_lag2,cpo_price_lag3,cpo_price_lag4,usd_php_lag1,usd_php_lag2,usd_php_lag3,usd_php_lag4,oni_lag1,copra_farmgate_lag1,copra_farmgate_lag2,copra_farmgate_lag3,copra_farmgate_lag4,coconut_prod_lag1,coconut_prod_lag2,coconut_prod_lag3,coconut_prod_lag4,coconut_prod_lag5,coconut_prod_lag6,scfm,scfm_lag1,scfm_mean6,scfm_dev,target_next_cno_log_return,target_next_cno_direction
2013-03-01,1001.0,801.0625,803.5625,771.15,774.375,40.69,40.625,41.03,41.053749999999994,-0.29,13.37,13.12,12.46,12.41,3495106.79,3495106.79,4175047.62,4175047.62,4175047.62,4210921.49,548.4413314764753,545.3748473748474,749.0947995413999,-200.6534680649246,-0.03455628386192622,0
2013-04-01,967.0,780.2,801.0625,803.5625,771.15,40.839999999999996,40.69,40.625,41.03,-0.21,13.02,13.37,13.12,12.46,3495106.79,3495106.79,3495106.79,4175047.62,4175047.62,4175047.62,494.96016976820107,548.4413314764753,703.2176780173063,-208.25750824910523,-0.0740284271510947,0
2013-05-01,898.0,757.75,780.2,801.0625,803.5625,41.1425,40.839999999999996,40.69,40.625,-0.19,12.54,13.02,13.37,13.12,3517432.32,3495106.79,3495106.79,3495106.79,4175047.62,4175047.62,483.19950404662075,494.96016976820107,652.2993729188172,-169.09986887219645,-0.05728943251029654,0
2013-06-01,848.0,777.3125,757.75,780.2,801.0625,41.573750000000004,41.1425,40.839999999999996,40.69,-0.27,13.18,12.54,13.02,13.37,3517432.32,3517432.32,3495106.79,3495106.79,3495106.79,4175047.62,394.7825870739368,483.19950404662075,602.1872795721605,-207.4046924982237,-0.07719691800949467,0
2013-07-01,785.0,762.8,777.3125,757.75,780.2,43.124,41.573750000000004,41.1425,40.839999999999996,-0.34,14.85,13.18,12.54,13.02,3517432.32,3517432.32,3517432.32,3495106.79,3495106.79,3495106.79,301.4034743662794,394.7825870739368,523.2877203865373,-221.88424602025793,0.05410208489317279,1
2013-09-01,828.64,706.6875,702.1875,762.8,777.3125,43.96875,43.394999999999996,43.124,41.573750000000004,-0.28,15.8,15.14,14.85,13.18,4077913.33,4077913.33,3517432.32,3517432.32,3517432.32,3495106.79,214.60932299951492,301.4034743662794,461.3603190177268,-246.75099601821188,0.029266785111235066,1
2013-10-01,853.25,724.4,706.6875,702.1875,762.8,43.549,43.96875,43.394999999999996,43.124,-0.21,16.88,15.8,15.14,14.85,4077913.33,4077913.33,4077913.33,3517432.32,3517432.32,3517432.32,213.38704829845005,214.60932299951492,406.232731621838,-192.84568332338796,-0.04127380083735475,0
2013-11-01,818.75,779.4375,724.4,706.6875,702.1875,43.1325,43.549,43.96875,43.394999999999996,-0.13,17.5,16.88,15.8,15.14,3926833.75,4077913.33,4077913.33,4077913.33,3517432.32,3517432.32,209.2396185526511,213.38704829845005,350.3903510921671,-141.150732539516,-0.033937351210923006,0
2013-12-01,791.43,810.8125,779.4375,724.4,706.6875,43.588750000000005,43.1325,43.549,43.96875,-0.1,21.35,17.5,16.88,15.8,3926833.75,3926833.75,4077913.33,4077913.33,4077913.33,3517432.32,41.28129789478055,209.2396185526511,302.7702592229088,-261.48896132812825,0.03850704690098828,1
2014-03-01,860.43,808.0,810.8125,779.4375,724.4,44.70375,45.1275,44.338,43.588750000000005,-0.32,28.3,25.89,23.83,21.35,3253712.93,3253712.93,3926833.75,3926833.75,3926833.75,4077913.33,-114.22160463350212,-88.14734574789429,88.11421731129218,-202.3358219447943,0.03671749106973863,1
